Unnamed: 0,joburl,skill,designation,orgnization,experience,location,moredesc,salary,recruitername,recruiterdetails,jobpostingdate
17,https://www.naukri.com/job-listings-Linux-Administrator-Shell-Scripting-Python-Confidential-Hyderabad-4-to-9-years-290819907385?src=jobsearchDesk&sid=15692605177650&xp=18&px=3,"Unix, Configuration Management Tools, Open Source, Linux, LDAP...",Linux Administrator - Shell Scripting/ Python,Confidential,4-9 yrs,Hyderabad,"  Unix, Configuration Management Tools, Open Source, Linux, LDAP... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 25 days ago ",25 days ago
18,https://www.naukri.com/job-listings-Advanced-Software-Engineer-Net-Python-Invesco-India-Pvt-Ltd-Hyderabad-3-to-8-years-290819904897?src=jobsearchDesk&sid=15692605177650&xp=19&px=3,"c#, asp.net mvc, web services, .net, html, vb.net, javascript, sql server...",Advanced Software Engineer - .Net + Python,Invesco (India) Pvt Ltd,3-8 yrs,Hyderabad,"  c#, asp.net mvc, web services, .net, html, vb.net, javascript, sql server... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 21 days ago ",21 days ago
19,https://www.naukri.com/job-listings-Odoo-Developer-Python-Confidential-Hyderabad-3-to-5-years-280819909871?src=jobsearchDesk&sid=15692605177650&xp=20&px=3,"Odoo, Application Architecture, Applications Implementation, jQuery...",Odoo Developer - Python,Confidential,3-5 yrs,Hyderabad,"  Odoo, Application Architecture, Applications Implementation, jQuery... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 24 days ago ",24 days ago
20,https://www.naukri.com/job-listings-Software-Engineer-C-node-js-python-Confidential-Hyderabad-3-to-6-years-280819909703?src=jobsearchDesk&sid=15692605177650&xp=21&px=3,"Golang, C#, REST API, NoSQL, RDBMS, MySQL, Node.js, MongoDB, Python",Software Engineer - C#/node.js/python,Confidential,3-6 yrs,Hyderabad,"  Golang, C#, REST API, NoSQL, RDBMS, MySQL, Node.js, MongoDB, Python ",  Not disclosed  ,  HR  ," Posted  by     HR    , 24 days ago ",24 days ago
21,https://www.naukri.com/job-listings-Python-Developer-Django-flask-Confidential-Hyderabad-4-to-8-years-280819908890?src=jobsearchDesk&sid=15692605177650&xp=22&px=3,"WebSockets, REST API, Django, PostgreSQL, MySQL, Version Control System...",Python Developer - Django/flask,Confidential,4-8 yrs,Hyderabad,"  WebSockets, REST API, Django, PostgreSQL, MySQL, Version Control System... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 24 days ago ",24 days ago
22,https://www.naukri.com/job-listings-Python-Django-Developer-Kastech-Software-Solutions-Hyderabad-Bengaluru-5-to-9-years-280819906127?src=jobsearchDesk&sid=15692605177650&xp=23&px=3,"software development, Django, Python, Flask",Python Django Developer,Kastech Software Solutions,5-9 yrs,"Hyderabad, Bengaluru","  software development, Django, Python, Flask ",  Not disclosed  ,  HR  ," Posted  by     HR    , 25 days ago ",25 days ago
23,https://www.naukri.com/job-listings-Python-Developer-Contract-EsoTeky-Solutions-Private-Limited-Hyderabad-5-to-8-years-280819903422?src=jobsearchDesk&sid=15692605177650&xp=24&px=3,"Drupal, MySQL, Apache Server, Python",Python Developer - Contract,EsoTeky Solutions Private Limited,5-8 yrs,Hyderabad,"  Drupal, MySQL, Apache Server, Python ",  Not disclosed  ,  HR  ," Posted  by     HR    , 26 days ago ",26 days ago
24,https://www.naukri.com/job-listings-Big-Data-Developer-Java-r-python-Career-Infosystem-Hyderabad-3-to-8-years-280819012325?src=jobsearchDesk&sid=15692605177650&xp=25&px=3,"Java, data mining, Hadoop, HTML, loading, R, Hive, Java Scripts, MySQL...",Big Data Developer - Java/r/python,Career Infosystem,3-8 yrs,Hyderabad,"  Java, data mining, Hadoop, HTML, loading, R, Hive, Java Scripts, MySQL... ",  Not disclosed  ,  Humera  ," Posted  by     Humera    , 26 days ago ",26 days ago
25,https://www.naukri.com/job-listings-Software-Engineer-Full-Stack-Developer-Java-python-SKS-Enterpprises-Hyderabad-4-to-9-years-280819009997?src=jobsearchDesk&sid=15692605177650&xp=26&px=3,"Distribution System, Java, Scratch, Front End, Software Engineering...",Software Engineer - Full Stack Developer - Java/python,SKS Enterpprises,4-9 yrs,Hyderabad,"  Distribution System, Java, Scratch, Front End, Software Engineering... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 24 days ago ",24 days ago
26,https://www.naukri.com/job-listings-Big-Data-Developer-Java-R-Python-Career-Infosystem-Hyderabad-3-to-8-years-280819009815?src=jobsearchDesk&sid=15692605177650&xp=27&px=3,"Java, R, Hive, Hadoop, MySQL, Big Data Developer, MS SQL Server, HTML...",Big Data Developer - Java /R/ Python,Career Infosystem,3-8 yrs,Hyderabad,"  Java, R, Hive, Hadoop, MySQL, Big Data Developer, MS SQL Server, HTML... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 26 days ago ",26 days ago
27,https://www.naukri.com/job-listings-Python-Developer-Persistent-Systems-Limited-Hyderabad-2-to-4-years-280819005810?src=jobsearchDesk&sid=15692605177650&xp=28&px=3,"Django, Python",Python Developer,Persistent Systems Limited.,2-4 yrs,Hyderabad,"  Django, Python ",  Not disclosed  ,  Diksha Rahangdale  ," Posted  by     Diksha Rahangdale    , 26 days ago ",26 days ago
28,https://www.naukri.com/job-listings-Full-Stack-Python-Developer-Node-js-4-10-yrs-Dhanur-Work-Place-Solutions-Hyderabad-Gachibowli-4-to-8-years-270819000023?src=jobsearchDesk&sid=15692605177650&xp=29&px=3,"Angularjs, Web Technologies, Node.Js, React.Js, Devops, AWS, Python",Full Stack Python Developer - Node.js (4-10 yrs),Dhanur Work Place Solutions,4-8 yrs,Hyderabad(Gachibowli),"  Angularjs, Web Technologies, Node.Js, React.Js, Devops, AWS, Python ",  Not disclosed  ,  Bhavani C  ," Posted  by     Bhavani C    , 27 days ago ",27 days ago
29,https://www.naukri.com/job-listings-Credit-Innovation-data-Analytics-data-Scientist-with-Big-Data-Python-Credence-HR-Services-Hyderabad-9-to-14-years-260819907320?src=jobsearchDesk&sid=15692605177650&xp=30&px=3,"Data Scientist, Scala, Data Analyst, Big data, Data Analytics, Python","Credit Innovation-data Analytics/data Scientist with Big Data , Python",Credence HR Services,9-14 yrs,Hyderabad,"  Data Scientist, Scala, Data Analyst, Big data, Data Analytics, Python ",  Not disclosed  ,  HR  ," Posted  by     HR    , 26 days ago ",26 days ago
30,https://www.naukri.com/job-listings-Python-Linux-Admin-Invesco-India-Pvt-Ltd-Hyderabad-10-to-12-years-260819904949?src=jobsearchDesk&sid=15692605177650&xp=31&px=3,"continuous delivery, data quality, python, automation, java...",Python + Linux Admin,Invesco (India) Pvt Ltd,10-12 yrs,Hyderabad,"  continuous delivery, data quality, python, automation, java... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 22 days ago ",22 days ago
31,https://www.naukri.com/job-listings-Python-Developer-Synoris-Technologies-Hyderabad-Pune-9-to-12-years-260819902576?src=jobsearchDesk&sid=15692605177650&xp=32&px=3,"NoSQL, Linux, Bash Scripting, Python Developer, MySQL",Python Developer,Synoris Technologies,9-12 yrs,"Hyderabad, Pune","  NoSQL, Linux, Bash Scripting, Python Developer, MySQL ",  Not disclosed  ,  HR  ," Posted  by     HR    , 28 days ago ",28 days ago
32,https://www.naukri.com/job-listings-Hiring-For-Python-Developer-SR-Career-Solutions-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Kochi-Karimnagar-Warangal-0-to-1-years-210819001741?src=jobsearchDesk&sid=15692605177650&xp=33&px=3,"front end, python, software development, troubleshooting skills, sap...",Hiring For Python Developer,- SR Career Solutions,0-1 yrs,"Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Kochi, Karimnagar, Warangal","  front end, python, software development, troubleshooting skills, sap... "," INR 3,00,000 - 5,00,000 PA.   ",  Vinod Paswan  ," Posted  by     Vinod Paswan    , 18 days ago ",18 days ago
33,https://www.naukri.com/job-listings-Python-Developer-SR-Career-Solutions-Hyderabad-Anantapur-Guntur-Kakinada-Nellore-Tirupati-Vijayawada-Visakhapatnam-Warangal-0-to-1-years-210819001336?src=jobsearchDesk&sid=15692605177650&xp=34&px=3,"front end, python, software development, troubleshooting skills, sap...",Python Developer,- SR Career Solutions,0-1 yrs,"Hyderabad, Anantapur, Guntur, Kakinada, Nellore, Tirupati, Vijayawada, Visakhapatnam, Warangal","  front end, python, software development, troubleshooting skills, sap... "," INR 3,00,000 - 5,00,000 PA.   ",  Anjali  ," Posted  by     Anjali    , 18 days ago ",18 days ago
34,https://www.naukri.com/job-listings-Fresher-Java-Developer-Python-Developer-Salesforce-Developer-SR-Career-Solutions-Chennai-Hyderabad-Anantapur-Coimbatore-Guntur-Kurnool-Tirupati-Vijayawada-Visakhapatnam-0-to-1-years-200819005348?src=jobsearchDesk&sid=15692605177650&xp=35&px=3,"Java, SAP, SAP FICO Consultant, OOPS, Python Developer, sfdc...","Fresher Java Developer, Python Developer, Salesforce Developer",- SR Career Solutions,0-1 yrs,"Chennai, Hyderabad, Anantapur, Coimbatore, Guntur, Kurnool, Tirupati, Vijayawada, Visakhapatnam","  Java, SAP, SAP FICO Consultant, OOPS, Python Developer, sfdc... "," INR 3,00,000 - 5,00,000 PA.   ",  Anjali  ," Posted  by     Anjali    , 18 days ago ",18 days ago
35,https://www.naukri.com/job-listings-Software-Development-scripting-Engineer-Perl-python-Programming-ConverseHR-Hyderabad-2-to-4-years-060919902169?src=jobsearchDesk&sid=15692605177650&xp=36&px=3,"Multithreading, Linux OS, Shell Scripting, Javascript, Perl...",Software Development/scripting Engineer - Perl/python Programming,ConverseHR,2-4 yrs,Hyderabad,"  Multithreading, Linux OS, Shell Scripting, Javascript, Perl... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 17 days ago ",17 days ago
36,https://www.naukri.com/job-listings-Python-Developer-MINFY-TECHNOLOGIES-PRIVATE-LIMITED-Hyderabad-Kondapur-4-to-5-years-060919009553?src=jobsearchDesk&sid=15692605177650&xp=37&px=3,"Pyramid, GIT, Linux, Django, Postgresql, Continuous Integration, MySQL...",Python Developer,"MINFY TECHNOLOGIES PRIVATE LIMITED,",4-5 yrs,Hyderabad(Kondapur),"  Pyramid, GIT, Linux, Django, Postgresql, Continuous Integration, MySQL... ",  Not disclosed  ,  Rajendra  ," Posted  by     Rajendra    , 17 days ago ",17 days ago
37,https://www.naukri.com/job-listings-Exclusive-Hiring-For-Python-Developer-8-years-HCL-Technologies-Ltd-Hyderabad-8-to-13-years-060919001133?src=jobsearchDesk&sid=15692605177650&xp=38&px=3,"Javascript, Python",Exclusive Hiring For Python Developer(8+years),HCL Technologies Ltd,8-13 yrs,Hyderabad,"  Javascript, Python "," INR 9,00,000 - 19,00,000 PA.   ",  Vickram  ," Posted  by     Vickram    , 17 days ago ",17 days ago
38,https://www.naukri.com/job-listings-Python-Developer-Java-struts-Okda-Solutions-Hyderabad-7-to-9-years-050919907364?src=jobsearchDesk&sid=15692605177650&xp=39&px=3,"RESTful API, Java, Windows OS, Linux OS, Django, RESTful Webservices...",Python Developer - Java/struts,Okda Solutions,7-9 yrs,Hyderabad,"  RESTful API, Java, Windows OS, Linux OS, Django, RESTful Webservices... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 17 days ago ",17 days ago
39,https://www.naukri.com/job-listings-Senior-Analyst-Java-j2ee-python-Okda-Solutions-Chennai-Hyderabad-3-to-5-years-050919907343?src=jobsearchDesk&sid=15692605177650&xp=40&px=3,"CI / CD, Java, Design Patterns, Artificial Intelligence...",Senior Analyst - Java/j2ee/python,Okda Solutions,3-5 yrs,"Chennai, Hyderabad","  CI / CD, Java, Design Patterns, Artificial Intelligence... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 17 days ago ",17 days ago
40,https://www.naukri.com/job-listings-Machine-Learning-Engineer-Nlp-python-Anram-Solutions-India-Pvt-Ltd-Hyderabad-1-to-3-years-050919906917?src=jobsearchDesk&sid=15692605177650&xp=41&px=3,"NLP, OOPS, Machine Learning, PhD, Python",Machine Learning Engineer - Nlp/python,Anram Solutions India Pvt Ltd,1-3 yrs,Hyderabad,"  NLP, OOPS, Machine Learning, PhD, Python ",  Not disclosed  ,  HR  ," Posted  by     HR    , 17 days ago ",17 days ago
41,https://www.naukri.com/job-listings-Cloud-Automation-Engineer-python-ansible-with-6-11-Years-Experience-DataSpeaks-Services-Private-Limited-Hyderabad-6-to-11-years-050919008705?src=jobsearchDesk&sid=15692605177650&xp=42&px=3,"python, Powershell, Chef, Bash, python developer, Saltstack...",Cloud Automation Engineer (python/ansible) with 6-11 Years Experience,DataSpeaks Services Private Limited,6-11 yrs,Hyderabad,"  python, Powershell, Chef, Bash, python developer, Saltstack... "," INR 6,50,000 - 16,50,000 PA.   ",  Jagadishwar Balla  ," Posted  by     Jagadishwar Balla    , 18 days ago ",18 days ago
42,https://www.naukri.com/job-listings-Part-Time-Trainer-Python-R-Machine-Learning-PPN-Solutions-Pvt-Ltd-Delhi-NCR-Bengaluru-Hyderabad-Mumbai-Chennai-Pune-Kolkata-Ahmedabad-5-to-10-years-050619000772?src=jobsearchDesk&sid=15692605177650&xp=43&px=3,"Data Science, R, Providing Training, Part Time, Machine Learning, Python","Part Time Trainer - Python, R, Machine Learning",PPN Solutions Pvt Ltd.,5-10 yrs,"Delhi NCR, Bengaluru, Hyderabad, Mumbai, Chennai, Pune, Kolkata, Ahmedabad","  Data Science, R, Providing Training, Part Time, Machine Learning, Python ",  Not disclosed  ,  Harpreet Kaur  ," Posted  by     Harpreet Kaur    , 21 days ago ",21 days ago
43,https://www.naukri.com/job-listings-Django-Developer-Python-Confidential-Hyderabad-5-to-8-years-040919903570?src=jobsearchDesk&sid=15692605177650&xp=44&px=3,"AngularJS, Django, MySQL, Javascript, Bootstrap, SQL Server, Python",Django Developer - Python,Confidential,5-8 yrs,Hyderabad,"  AngularJS, Django, MySQL, Javascript, Bootstrap, SQL Server, Python ",  Not disclosed  ,  HR  ," Posted  by     HR    , 19 days ago ",19 days ago
44,https://www.naukri.com/job-listings-Senior-Analyst-NLP-Python-R-Okda-Solutions-Chennai-Hyderabad-3-to-5-years-040919903526?src=jobsearchDesk&sid=15692605177650&xp=45&px=3,"R, NLP, Open Source, Machine Learning, Algorithm, Analytics, Python",Senior Analyst - NLP/ Python/ R,Okda Solutions,3-5 yrs,"Chennai, Hyderabad","  R, NLP, Open Source, Machine Learning, Algorithm, Analytics, Python ",  Not disclosed  ,  HR  ," Posted  by     HR    , 18 days ago ",18 days ago
45,https://www.naukri.com/job-listings-Project-Leader-python-Postgresql-ENERGYTECH-GLOBAL-PRIVATE-LIMITED-Hyderabad-4-to-9-years-040219002415?src=jobsearchDesk&sid=15692605177650&xp=46&px=3,"Openerp, Linux, Postgresql, Computer Science, Database Design...",Project Leader (python & Postgresql),ENERGYTECH GLOBAL PRIVATE LIMITED,4-9 yrs,Hyderabad,"  Openerp, Linux, Postgresql, Computer Science, Database Design... ",  Not disclosed  ,  Rachel  ," Posted  by     Rachel    , 18 days ago ",18 days ago
46,https://www.naukri.com/job-listings-Senior-Python-Developers-x-2-Eagle-Genomics-Ltd-Hyderabad-Madhapur-4-to-9-years-030919011189?src=jobsearchDesk&sid=15692605177650&xp=47&px=3,"rest, python, github, git, server side, Docker, Linux, Agile, Scrum...",Senior Python Developers x 2,Eagle Genomics Ltd,4-9 yrs,Hyderabad(Madhapur),"  rest, python, github, git, server side, Docker, Linux, Agile, Scrum... ",  Not disclosed  ,  Alison  ," Posted  by     Alison    , 20 days ago ",20 days ago
47,https://www.naukri.com/job-listings-HTC-Global-Services-AWS-with-Python-Hyd-Che-immediate-Joiners-HTC-Global-Services-India-Pvt-Ltd-Hyderabad-Chennai-3-to-6-years-030919003478?src=jobsearchDesk&sid=15692605177650&xp=48&px=3,"Amazon Ec2, Amazon solution, Amazon wsdl, Amazon webservices, Amazon python...",HTC Global Services _ AWS with Python _ Hyd / Che (immediate Joiners),HTC Global Services (India) Pvt. Ltd.,3-6 yrs,"Hyderabad, Chennai","  Amazon Ec2, Amazon solution, Amazon wsdl, Amazon webservices, Amazon python... ",  Not disclosed  ,  Thibhagar Sivaniah  ," Posted  by     Thibhagar Sivaniah    , 20 days ago ",20 days ago
48,https://www.naukri.com/job-listings-Python-Scripting-Accenture-Hyderabad-5-to-8-years-020919003424?src=jobsearchDesk&sid=15692605177650&xp=49&px=3,"Business process, Automation, Monitoring tools, Machine learning, Agile...",Python Scripting,Accenture,5-8 yrs,Hyderabad,"  Business process, Automation, Monitoring tools, Machine learning, Agile... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 17 days ago ",17 days ago
49,https://www.naukri.com/job-listings-Python-Scripting-Accenture-Hyderabad-7-to-11-years-020919003418?src=jobsearchDesk&sid=15692605177650&xp=50&px=3,"Automation, Monitoring tools, Machine learning, Agile, J2Ee, Unix scripting...",Python Scripting,Accenture,7-11 yrs,Hyderabad,"  Automation, Monitoring tools, Machine learning, Agile, J2Ee, Unix scripting... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 20 days ago ",20 days ago
0,https://www.naukri.com/job-listings-Automation-Test-Engineer-with-Python-Expertise-For-top-MNC-LRR-Technologies-Hyderabad-Pvt-Ltd-Hyderabad-Madhapur-4-to-7-years-010919001181?src=jobsearchDesk&sid=15692605222985&xp=1&px=4,"automation framework, C#, automation tools, selenium, automation testing...",Automation Test Engineer with Python Expertise For top MNC,LRR Technologies (Hyderabad) Pvt. Ltd.,4-7 yrs,Hyderabad(Madhapur),"  automation framework, C#, automation tools, selenium, automation testing... "," INR 8,00,000 - 11,00,000 PA.   ",  Kishore K  ," Posted  by     Kishore K    , 22 days ago ",22 days ago
1,https://www.naukri.com/job-listings-Python-Developer-Golden-Opportunities-Pvt-Ltd-Bengaluru-Hyderabad-8-to-10-years-130919910061?src=jobsearchDesk&sid=15692605222985&xp=2&px=4,"Angular JS, CSS, Python Developer, Bootstrap, HTML, JQuery, React, Python...",Python Developer,Golden Opportunities Pvt Ltd,8-10 yrs,"Bengaluru, Hyderabad","  Angular JS, CSS, Python Developer, Bootstrap, HTML, JQuery, React, Python... ",  Not disclosed  ,  Kathiravan  ," Posted  by     Kathiravan    , 10 days ago ",10 days ago
2,https://www.naukri.com/job-listings-Junior-Python-Developer-Impact-HR-Services-Pvt-Ltd-Hyderabad-1-to-2-years-090919007549?src=jobsearchDesk&sid=15692605222985&xp=3&px=4,"Docker, Problem Solving, Automation Framework, Version Control...",Junior Python Developer,Impact HR Services Pvt.Ltd.,1-2 yrs,Hyderabad,"  Docker, Problem Solving, Automation Framework, Version Control... "," INR 1,25,000 - 4,00,000 PA.   ",  Prakash Kewalramani (MBA IIM-Ahd)  ," Posted  by     Prakash Kewalramani (MBA IIM-Ahd)    , 14 days ago ",14 days ago
3,https://www.naukri.com/job-listings-Requirement-For-Sailpoint-Architect-at-Hyderabad-Location-Parkar-Global-Technologies-Pvt-Ltd-Hyderabad-7-to-12-years-190919003828?src=jobsearchDesk&sid=15692605222985&xp=4&px=4,"Java, CSS, Sailpoint, Identity and Access Management function, HTML...",Requirement For Sailpoint Architect at Hyderabad Location,Parkar Global Technologies Pvt Ltd,7-12 yrs,Hyderabad,"  Java, CSS, Sailpoint, Identity and Access Management function, HTML... ",  Not disclosed  ,  Aashish  ," Posted  by     Aashish    , 4 days ago ",4 days ago
4,https://www.naukri.com/job-listings-PHP-Developer-WAMP-LAMP-Stack-Confidential-Hyderabad-2-to-4-years-170919006962?src=jobsearchDesk&sid=15692605222985&xp=5&px=4,"LAMP stack, python, java, Git, My SQL, RDBMS, WAMP, cloud management, SVN...",PHP Developer - WAMP / LAMP Stack,Confidential,2-4 yrs,Hyderabad,"  LAMP stack, python, java, Git, My SQL, RDBMS, WAMP, cloud management, SVN... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 4 days ago ",4 days ago
5,https://www.naukri.com/job-listings-Network-Security-Engineer-United-Online-Software-Development-India-Private-Limited-Hyderabad-2-to-4-years-130819004670?src=jobsearchDesk&sid=15692605222985&xp=6&px=4,"Linux, Networking, Penetration Testing, Network Security, Ceh...",Network Security Engineer,United Online Software Development (India)  Private Limited,2-4 yrs,Hyderabad,"  Linux, Networking, Penetration Testing, Network Security, Ceh... ",  Not disclosed  ,  Ms. Devanshi  ," Posted  by     Ms. Devanshi    , 6 days ago ",6 days ago
6,https://www.naukri.com/job-listings-Backend-Engineer-Full-Stack-Node-JS-APPYHIGH-TECHNOLOGY-LLP-Hyderabad-3-to-8-years-020819007080?src=jobsearchDesk&sid=15692605222985&xp=7&px=4,"Java Servlets, Hibernate, CSS, Ruby Rails, JSP, HTML, Node.Js, Perl, Spring...",Backend Engineer / Full Stack Node JS,APPYHIGH TECHNOLOGY LLP,3-8 yrs,Hyderabad,"  Java Servlets, Hibernate, CSS, Ruby Rails, JSP, HTML, Node.Js, Perl, Spring... ",  Not disclosed  ,  Samita Sharma  ," Posted  by     Samita Sharma    , 6 days ago ",6 days ago
7,https://www.naukri.com/job-listings-Python-Developer-Django-mongodb-Oruganti-Consultants-Hyderabad-1-to-6-years-310719903378?src=jobsearchDesk&sid=15692605222985&xp=8&px=4,"REST API, Django, MongoDB, AWS, Python, Flask, SQL",Python Developer - Django/mongodb,Oruganti Consultants,1-6 yrs,Hyderabad,"  REST API, Django, MongoDB, AWS, Python, Flask, SQL ",  Not disclosed  ,  HR  ," Posted  by     HR    , 30+ days ago ",30+ days ago
8,https://www.naukri.com/job-listings-Data-Analyst-R-python-matlab-AMBC-Hyderabad-5-to-10-years-310719903348?src=jobsearchDesk&sid=15692605222985&xp=9&px=4,"DataLake, R, SAS, Data Management, MSBI, Data Analyst, Data Warehousing...",Data Analyst - R/python/matlab,AMBC,5-10 yrs,Hyderabad,"  DataLake, R, SAS, Data Management, MSBI, Data Analyst, Data Warehousing... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 30+ days ago ",30+ days ago
9,https://www.naukri.com/job-listings-Sr-Eng-II-Eng-Run-net-Python-Devops-Invesco-India-Pvt-Ltd-Hyderabad-5-to-7-years-300719908578?src=jobsearchDesk&sid=15692605222985&xp=10&px=4,"REST, AutoHotKey, Jscript, System Testing, Python / Anaconda...","Sr. Eng. II, Eng Run (.net, Python, Devops)",Invesco (India) Pvt Ltd,5-7 yrs,Hyderabad,"  REST, AutoHotKey, Jscript, System Testing, Python / Anaconda... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 30+ days ago ",30+ days ago
10,https://www.naukri.com/job-listings-Senior-Software-Engineer-Python-Developer-CGI-Information-Systems-and-Management-Consultants-Hyderabad-3-to-8-years-300719010154?src=jobsearchDesk&sid=15692605222985&xp=11&px=4,"Data analysis, CGI, Architecture, Business solutions...",Senior Software Engineer Python Developer,CGI Information Systems and Management Consultants,3-8 yrs,Hyderabad,"  Data analysis, CGI, Architecture, Business solutions... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 30+ days ago ",30+ days ago
11,https://www.naukri.com/job-listings-Full-Stack-UI-Python-Developer-3-8-Years-ZestIoT-Technologies-Pvt-Ltd-Hyderabad-Jubilee-Hills-3-to-8-years-290719004909?src=jobsearchDesk&sid=15692605222985&xp=12&px=4,"Rabbitmq, Angularjs, CSS, GIT, Front End, Django, MySQL, Javascript, HTML...",Full Stack / UI / Python Developer (3-8 Years),ZestIoT Technologies Pvt Ltd,3-8 yrs,Hyderabad(Jubilee Hills),"  Rabbitmq, Angularjs, CSS, GIT, Front End, Django, MySQL, Javascript, HTML... ",  Not disclosed  ,  Shreya Sanchita  ," Posted  by     Shreya Sanchita    , 30+ days ago ",30+ days ago
12,https://www.naukri.com/job-listings-Full-Stack-AngularJS-Developer-PHP-and-Python-Development-RAACOM-INFOSYSTEMS-PRIVATE-LIMITED-Hyderabad-Mehdipatnam-4-to-8-years-290719000559?src=jobsearchDesk&sid=15692605222985&xp=13&px=4,"Angularjs, OOP, Symfony, Web Technologies, MySQL, PHP, MVC, Web Development...",Full Stack AngularJS Developer - PHP and Python Development,RAACOM INFOSYSTEMS PRIVATE LIMITED,4-8 yrs,Hyderabad(Mehdipatnam),"  Angularjs, OOP, Symfony, Web Technologies, MySQL, PHP, MVC, Web Development... ",  Not disclosed  ,  Raza Sheikh  ," Posted  by     Raza Sheikh    , 30+ days ago ",30+ days ago
13,https://www.naukri.com/job-listings-Big-Data-Developer-Java-python-hadoop-Collabera-Bengaluru-Hyderabad-4-to-9-years-260719901325?src=jobsearchDesk&sid=15692605222985&xp=14&px=4,"Azure Data Factory, C#, Java, Azure, Hive, NoSQL, Hadoop, Big Data...",Big Data Developer - Java/python/hadoop,Collabera,4-9 yrs,"Bengaluru, Hyderabad","  Azure Data Factory, C#, Java, Azure, Hive, NoSQL, Hadoop, Big Data... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 30+ days ago ",30+ days ago
14,https://www.naukri.com/job-listings-Python-Developer-Hypervisors-Kastech-Software-Solutions-Bengaluru-Hyderabad-5-to-8-years-250719904690?src=jobsearchDesk&sid=15692605222985&xp=15&px=4,"CI / CD, VMware, Docker, Linux, Design Patterns, Microservices Architecture...",Python Developer - Hypervisors,Kastech Software Solutions,5-8 yrs,"Bengaluru, Hyderabad","  CI / CD, VMware, Docker, Linux, Design Patterns, Microservices Architecture... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 30+ days ago ",30+ days ago
15,https://www.naukri.com/job-listings-Trainer-Python-or-Angular-or-JavaScript-or-NET-or-Java-j2ee-GlobalEdx-Learning-and-Technology-Solution-Pvt-Ltd-Hyderabad-1-to-3-years-230819907769?src=jobsearchDesk&sid=15692605222985&xp=16&px=4,"JAVA / J2EE / Spring / Hibernate, python, WordPress, java, Angular 5 / 6...",Trainer  - Python or Angular or JavaScript or .NET or Java/j2ee,GlobalEdx Learning and Technology Solution Pvt Ltd,1-3 yrs,Hyderabad,"  JAVA / J2EE / Spring / Hibernate, python, WordPress, java, Angular 5 / 6... ",  Not disclosed  ,  Chenna HR Manager  ," Posted  by     Chenna HR Manager    , 30+ days ago ",30+ days ago
16,https://www.naukri.com/job-listings-Python-Developer-Capgemini-Technology-Services-India-Limited-Hyderabad-4-to-6-years-220819902120?src=jobsearchDesk&sid=15692605222985&xp=17&px=4,"github, Front end, SAS, Debugging, Python Developer, Javascript...",Python Developer,Capgemini Technology Services India Limited,4-6 yrs,Hyderabad,"  github, Front end, SAS, Debugging, Python Developer, Javascript... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 30+ days ago ",30+ days ago
17,https://www.naukri.com/job-listings-Python-django-Developer-2-5-yrs-Dynacoral-Technologies-Pvt-Ltd-Hyderabad-2-to-5-years-220819005452?src=jobsearchDesk&sid=15692605222985&xp=18&px=4,"jQuery, Docker, Github, Django, Postgresql, REST/ GraphQL, Bootstrap, api...",Python/django Developer  (2-5 yrs),Dynacoral Technologies Pvt. Ltd.,2-5 yrs,Hyderabad,"  jQuery, Docker, Github, Django, Postgresql, REST/ GraphQL, Bootstrap, api... "," INR 4,00,000 - 9,00,000 PA.   ",  Aravind  ," Posted  by     Aravind    , 30+ days ago ",30+ days ago
18,https://www.naukri.com/job-listings-Builder-Tool-Strong-on-Python-Scripting-Sears-IT-Management-Services-India-Pvt-Ltd-Hyderabad-3-to-8-years-190819010542?src=jobsearchDesk&sid=15692605222985&xp=19&px=4,"Open Source, Bash, Monitoring Tools, Automation Tools...",Builder Tool - Strong on Python Scripting,Sears IT  Management Services India Pvt. Ltd.,3-8 yrs,Hyderabad,"  Open Source, Bash, Monitoring Tools, Automation Tools... ",  Not disclosed  ,  Sonia Mishra  ," Posted  by     Sonia Mishra    , 30+ days ago ",30+ days ago
